iter	Passed	Remaining
732	5323	1939
733	5330	1931
734	5337	1924
735	5344	1917
736	5351	1909
737	5358	1902
738	5365	1894
739	5371	1887
740	5378	1880
741	5385	1872
742	5392	1865
743	5399	1857
744	5406	1850
745	5413	1843
746	5420	1835
747	5427	1828
748	5435	1821
749	5442	1814
750	5449	1806
751	5456	1799
752	5463	1792
753	5470	1784
754	5476	1777
755	5483	1769
756	5490	1762
757	5497	1755
758	5504	1747
759	5511	1740
760	5518	1733
761	5525	1725
762	5531	1718
763	5538	1710
764	5545	1703
765	5552	1696
766	5559	1688
767	5566	1681
768	5573	1674
769	5580	1666
770	5586	1659
771	5593	1652
772	5600	1644
773	5607	1637
774	5614	1629
775	5621	1622
776	5628	1615
777	5635	1607
778	5641	1600
779	5649	1593
780	5656	1586
781	5663	1578
782	5670	1571
783	5677	1564
784	5683	1556
785	5690	1549
786	5697	1541
787	5704	1534
788	5711	1527
789	5717	1519
790	5724	1512
791	5731	1505
792	5738	1497
793	5745	1490
794	5752	1483
795	5758	1475
796	5765	1468
797	5772	1461
798	5779	1453
799	5786	1446
800	5793	1439
801	5800	1431
802	5806	1424
803	5813	1417
804	5820	1409
805	5827	1402
806	5834	1395
807	5841	1388
808	5848	1380
809	5854	1373
810	5861	1366
811	5868	1358
812	5875	1351
813	5882	1344
814	5889	1336
815	5896	1329
816	5903	1322
817	5909	1314
818	5916	1307
819	5923	1300
820	5930	1293
821	5937	1285
822	5944	1278
823	5950	1271
824	5958	1263
825	5965	1256
826	5973	1249
827	5979	1242
828	5987	1235
829	5994	1227
830	6001	1220
831	6008	1213
832	6015	1205
833	6023	1198
834	6032	1191
835	6039	1184
836	6046	1177
837	6053	1170
838	6060	1163
839	6067	1155
840	6074	1148
841	6081	1141
842	6088	1133
843	6095	1126
844	6102	1119
845	6109	1112
846	6116	1104
847	6122	1097
848	6129	1090
849	6136	1082
850	6143	1075
851	6150	1068
852	6156	1061
853	6163	1053
854	6170	1046
855	6177	1039
856	6184	1031
857	6191	1024
858	6198	1017
859	6205	1010
860	6211	1002
861	6218	995
862	6225	988
863	6232	981
864	6239	973
865	6245	966
866	6252	959
867	6259	951
868	6266	944
869	6273	937
870	6280	930
871	6287	922
872	6294	915
873	6301	908
874	6307	901
875	6314	893
876	6321	886
877	6328	879
878	6334	872
879	6341	864
880	6348	857
881	6355	850
882	6362	843
883	6368	835
884	6375	828
885	6382	821
886	6389	813
887	6396	806
888	6402	799
889	6409	792
890	6416	784
891	6423	777
892	6430	770
893	6437	763
894	6444	756
895	6451	748
896	6458	741
897	6465	734
898	6472	727
899	6480	720
900	6487	712
901	6494	705
902	6501	698
903	6508	691
904	6515	683
905	6523	676
906	6529	669
907	6536	662
908	6543	655
909	6550	647
910	6557	640
911	6564	633
912	6571	626
913	6578	618
914	6584	611
915	6591	604
916	6598	597
917	6605	590
918	6612	582
919	6619	575
920	6626	568
921	6633	561
922	6640	553
923	6647	546
924	6654	539
925	6660	532
926	6667	525
927	6674	517
928	6681	510
929	6688	503
930	6695	496
931	6701	488
932	6708	481
933	6715	474
934	6722	467
935	6729	460
936	6736	452
937	6743	445
938	6750	438
939	6757	431
940	6764	424
941	6770	416
942	6777	409
943	6784	402
944	6791	395
945	6798	388
946	6805	380
947	6812	373
948	6819	366
949	6825	359
950	6832	352
951	6839	344
952	6846	337
953	6853	330
954	6859	323
955	6866	316
956	6873	308
957	6880	301
958	6887	294
959	6894	287
960	6901	280
961	6908	272
962	6915	265
963	6921	258
964	6928	251
965	6935	244
966	6942	236
967	6949	229
968	6956	222
969	6963	215
970	6970	208
971	6977	200
972	6985	193
973	6991	186
974	6999	179
975	7005	172
976	7012	165
977	7019	157
978	7026	150
979	7033	143
980	7040	136
981	7047	129
982	7054	121
983	7061	114
984	7067	107
985	7074	100
986	7081	93
987	7088	86
988	7095	78
989	7102	71
990	7108	64
991	7115	57
992	7122	50
993	7129	43
994	7136	35
995	7143	28
996	7150	21
997	7157	14
998	7164	7
999	7171	0
